genres,release_date,playtime_forever,item_id
Action Casual Indie Simulation Strategy,2018-01-04,6.0,10.0
Free to Play Indie RPG Strategy,2018-01-04,0.0,20.0
Casual Free to Play Indie Simulation Sports,2017-07-24,7.0,30.0
Action Adventure Simulation,2018-01-04,0.0,50.0
Free to Play Indie Simulation Sports,2018-01-04,0.0,60.0
Free to Play Indie Simulation Sports,2018-01-04,0.0,70.0
Action Adventure Casual Indie RPG,2018-01-04,0.0,130.0
Casual Indie,2018-01-04,4733.0,300.0
Casual Indie Simulation,2018-01-03,1853.0,240.0
Adventure Casual Indie Simulation Strategy,2018-01-03,333.0,3830.0
Free to Play Indie Simulation Sports,2018-01-03,75.0,2630.0
Adventure Casual Indie Simulation Strategy,2018-01-03,338.0,3900.0
Free to Play Indie Simulation Sports,2018-01-03,0.0,34440.0
Action Adventure Indie,2018-01-03,2.0,3920.0
Racing Simulation Sports,2017-12-22,286.0,6400.0
Racing Simulation Sports,2017-12-23,2685.0,6910.0
Action Indie,2018-01-03,633.0,7670.0
Action Indie Racing,1997-06-30,0.0,409710.0
Action,1998-11-08,696.0,220.0
Action Indie RPG,2016-11-25,0.0,320.0
Casual Indie Simulation,2018-01-01,37.0,340.0
Adventure Casual Indie RPG,2018-01-01,0.0,360.0
Strategy,2006-07-06,168.0,380.0
Strategy,2006-07-06,173.0,400.0
Action Indie RPG,2006-07-11,323.0,420.0
Action Indie Strategy Early Access,2017-12-29,692.0,9340.0
Action Adventure Indie RPG,2017-12-29,0.0,228200.0
Casual Strategy Early Access,2017-12-29,0.0,11450.0
Action Indie,2017-12-29,1185.0,7940.0
Action Adventure Casual,2017-12-30,477.0,4700.0
Action,2005-08-09,115.0,12900.0
Indie Strategy,2006-09-29,0.0,13250.0
Action Indie RPG,2006-11-20,0.0,16100.0
Indie Simulation,2006-11-29,28.0,15700.0
Racing,2006-11-24,0.0,15710.0
Casual Indie,2006-12-14,31.0,17330.0
Casual Indie,2006-12-19,0.0,17340.0
Strategy,2003-08-23,195.0,22000.0
Strategy,2006-12-21,513.0,500.0
Adventure RPG,2006-04-17,1061.0,4560.0
Racing,2006-08-01,1613.0,17460.0
Racing,2005-07-12,186.0,10500.0
Action Adventure,2007-06-26,0.0,24740.0
Strategy,2006-07-24,271.0,22200.0
RPG,2002-11-12,445.0,26800.0
Action Adventure RPG,2000-11-17,10006.0,1250.0
Strategy,2006-07-24,0.0,35420.0
Strategy,2003-10-23,4413.0,3590.0
Strategy,2006-10-16,0.0,8880.0
Strategy,1998-10-31,0.0,8890.0
Strategy,1995-04-01,53.0,23120.0
Action Adventure,2007-06-05,199.0,35700.0
Action,2006-05-23,25.0,10140.0
Action Adventure,2006-10-17,570.0,35010.0
Action,1996-06-17,0.0,35140.0
Action Adventure,2006-12-20,940.0,29180.0
Action,1995-04-30,110.0,15520.0
Action,1995-06-01,5.0,32370.0
Action,1994-05-05,782.0,37700.0
Action,1994-08-03,77.0,6020.0
Action,2001-11-20,437.0,24860.0
Action,1997-02-28,503.0,39530.0
Action,1993-10-10,1474.0,550.0
Action,2003-09-09,0.0,223530.0
Action,2007-08-03,3061.0,8980.0
Action,2007-05-31,536.0,41500.0
Strategy,2007-03-20,139.0,20900.0
Strategy,2006-01-01,1886.0,10180.0
Action RPG,2007-08-21,1784.0,10190.0
Strategy,2006-01-01,4431.0,17450.0
Strategy,2006-10-09,1021.0,3170.0
Strategy,2004-09-22,1389.0,25900.0
Strategy,2006-06-26,95.0,31410.0
Casual,2007-12-14,5001.0,24980.0
Action,2004-04-20,1504.0,8850.0
Racing,2003-07-01,0.0,409720.0
Action,2003-10-14,11.0,46000.0
Action Adventure,2006-04-07,1636.0,33230.0
Action,2001-07-25,46.0,20820.0
Strategy,2008-10-28,85.0,47700.0
Casual,2007-10-10,5716.0,24960.0
RPG Casual Adventure,2007-10-23,834.0,43110.0
Strategy,2007-08-01,3083.0,8190.0
Action Adventure Strategy,2007-09-01,127.0,49600.0
Racing,2007-12-03,71.0,31220.0
Action,2008-02-08,0.0,31230.0
Action,2007-05-08,0.0,31240.0
Action,2006-05-02,0.0,31250.0
Action Adventure,2007-10-16,0.0,31260.0
Action,2006-05-30,585.0,21090.0
Simulation Strategy,2006-10-26,146.0,21110.0
Action,2005-03-14,0.0,21120.0
Action,2003-02-03,32.0,49400.0
Action,1998-04-30,3.0,33910.0
Casual Indie,2008-03-21,3.0,33930.0
Action,2003-02-18,0.0,219540.0
Action,2004-03-23,0.0,17410.0
Action,2000-10-25,0.0,205790.0
Action,2006-12-12,707.0,50130.0
Simulation,2005-03-15,50.0,62100.0
Casual Simulation,2008-05-28,206.0,31280.0
Casual,2008-06-04,12.0,57300.0
Casual,2008-06-10,64.0,21970.0
Casual,2008-06-10,10345.0,8930.0
Casual,2008-06-10,369.0,41000.0
Casual,2008-06-10,76.0,41050.0
Casual,2005-12-08,0.0,41060.0
Casual,2007-11-13,0.0,227780.0
Simulation,2007-11-13,594.0,18040.0
Casual,2005-12-08,43.0,22380.0
Action Adventure,2007-03-27,966.0,42700.0
Simulation,2007-03-20,2452.0,42710.0
Simulation,2006-12-15,25.0,62000.0
Simulation,2008-03-24,119.0,40800.0
Adventure,2005-09-15,6.0,9500.0
Racing,2005-07-02,0.0,18700.0
Adventure,2006-04-12,0.0,31270.0
Racing,2008-07-29,0.0,58200.0
Simulation,2007-07-02,537.0,70400.0
Casual,2007-08-08,50.0,41300.0
Adventure,2008-05-20,149.0,41800.0
Adventure RPG,2008-04-14,0.0,42500.0
Adventure Indie,2008-07-31,23.0,49900.0
Simulation Strategy,2007-05-25,0.0,55000.0
Action Indie,2008-08-21,1538.0,34330.0
Racing,2008-08-19,573.0,63200.0
Adventure,1998-11-17,2.0,99810.0
Adventure,1997-12-12,887.0,620.0
Racing,2008-09-01,588.0,42910.0
Strategy,2001-04-19,0.0,15500.0
Strategy,1997-07-15,4.0,15540.0
Strategy,1993-12-31,126.0,18500.0
Action RPG,2008-09-15,0.0,26500.0
Action,2008-09-17,0.0,35460.0
Action,2007-11-13,0.0,38700.0
Strategy,1998-06-15,0.0,38720.0
Action RPG,2008-09-16,0.0,63700.0
Indie,2008-09-19,0.0,280.0
Racing,2008-10-22,1343.0,20920.0
Strategy Simulation,2008-08-28,772.0,105600.0
Strategy,2008-09-23,9.0,98200.0
Action,2003-03-18,0.0,4500.0
Action Adventure,2008-09-29,3.0,4540.0
Simulation Strategy,2008-07-18,76.0,4550.0
RPG Strategy,2008-09-30,0.0,9480.0
Action,2008-10-08,2085.0,15620.0
Indie Casual,2008-08-31,0.0,20500.0
Racing,2006-12-01,69.0,20570.0
Strategy,2006-11-14,101.0,50620.0
Action,2005-10-04,51.0,55100.0
Strategy,2007-10-16,0.0,55140.0
Strategy,2008-04-18,678.0,56400.0
Casual,2007-09-25,0.0,475150.0
Action,2002-05-31,9.0,96100.0
Casual,2008-10-15,14194.0,35450.0
Indie,2008-10-13,0.0,236830.0
Action Simulation Strategy,2008-10-16,2512.0,72850.0
Action,2008-10-17,640.0,107100.0
Casual Indie,2008-10-20,1815.0,57690.0
Indie Casual Sports,2008-10-21,2078.0,91310.0
Action Adventure,2008-10-21,1494.0,113200.0
Action,2008-10-22,130.0,65800.0
Action Indie Strategy,2008-10-23,653.0,9200.0
Simulation,2009-01-01,716.0,41070.0
Simulation,2009-01-01,72.0,48950.0
Simulation,2009-01-01,262.0,92800.0
Simulation,2009-01-01,44.0,104700.0
Simulation,2009-01-01,18.0,203770.0
Simulation,2009-01-01,86.0,203810.0
Simulation,2009-01-01,1204.0,110800.0
Action,2009-01-28,798.0,207610.0
Action,2008-10-20,110.0,98300.0
RPG,2008-12-16,296.0,50300.0
Action Adventure,2009-01-13,0.0,204300.0
Indie Strategy,2008-12-08,0.0,1700.0
Action,2009-02-12,1429.0,205100.0
Strategy Indie,2008-03-05,1.0,211120.0
Indie Strategy,2007-07-04,23532.0,730.0
Action Indie,2009-03-19,1303.0,49520.0
Strategy,2005-05-10,100.0,200260.0
Action Adventure Strategy,2009-02-27,500.0,212680.0
Strategy,2009-03-04,459.0,200710.0
Action,2009-03-04,0.0,219150.0
Action Adventure Indie,2007-03-30,0.0,215510.0
Action,2007-11-19,2084.0,8870.0
RPG,2009-02-27,3478.0,200510.0
Indie Simulation,2008-03-21,182.0,220240.0
Racing,2009-02-03,0.0,218680.0
Action Indie,2009-03-09,905.0,228280.0
Action Indie,2009-03-16,0.0,212070.0
Action Indie,2009-03-16,51.0,218230.0
Casual Indie,2009-03-19,50.0,236390.0
Indie,2009-03-19,0.0,3483.0
Simulation Strategy,2009-03-10,0.0,203160.0
Casual,2009-04-15,81.0,227080.0
RPG Massively Multiplayer,2006-10-27,24.0,233450.0
RPG Massively Multiplayer,2005-04-28,712.0,43160.0
RPG Massively Multiplayer,2006-04-28,139.0,219740.0
Massively Multiplayer RPG,2008-09-25,0.0,322330.0
Casual,2009-04-16,319.0,222730.0
Casual,2009-04-29,73.0,241600.0
RPG,2009-04-30,159.0,238930.0
Strategy,2009-04-30,199.0,217140.0
Action Adventure RPG,2009-02-10,2896.0,39140.0
Action Indie,2009-04-21,0.0,225080.0
Indie,2009-04-29,194.0,239030.0
RPG Strategy,2008-09-23,272.0,248820.0
