genres,release_date,playtime_forever,user_id
Action Casual Indie Simulation Strategy,2018-01-04,6.0,76561197970982479
Free to Play Indie RPG Strategy,2018-01-04,0.0,76561197970982479
Casual Free to Play Indie Simulation Sports,2017-07-24,7.0,76561197970982479
Action Adventure Simulation,2018-01-04,0.0,76561197970982479
Free to Play Indie Simulation Sports,2018-01-04,0.0,76561197970982479
Free to Play Indie Simulation Sports,2018-01-04,0.0,76561197970982479
Action Adventure Casual Indie RPG,2018-01-04,0.0,76561197970982479
Casual Indie,2018-01-04,4733.0,76561197970982479
Casual Indie Simulation,2018-01-03,1853.0,76561197970982479
Adventure Casual Indie Simulation Strategy,2018-01-03,333.0,76561197970982479
Free to Play Indie Simulation Sports,2018-01-03,75.0,76561197970982479
Adventure Casual Indie Simulation Strategy,2018-01-03,338.0,76561197970982479
Free to Play Indie Simulation Sports,2018-01-03,0.0,76561197970982479
Action Adventure Indie,2018-01-03,2.0,76561197970982479
Racing Simulation Sports,2017-12-22,286.0,76561197970982479
Racing Simulation Sports,2017-12-23,2685.0,76561197970982479
Action Indie,2018-01-03,633.0,76561197970982479
Action Indie Racing,1997-06-30,0.0,76561197970982479
Action,1998-11-08,696.0,76561197970982479
Action Indie RPG,2016-11-25,0.0,76561197970982479
Casual Indie Simulation,2018-01-01,37.0,76561197970982479
Adventure Casual Indie RPG,2018-01-01,0.0,76561197970982479
Strategy,2006-07-06,168.0,76561197970982479
Strategy,2006-07-06,173.0,76561197970982479
Action Indie RPG,2006-07-11,323.0,76561197970982479
Action Indie Strategy Early Access,2017-12-29,692.0,76561197970982479
Action Adventure Indie RPG,2017-12-29,0.0,76561197970982479
Casual Strategy Early Access,2017-12-29,0.0,76561197970982479
Action Indie,2017-12-29,1185.0,76561197970982479
Action Adventure Casual,2017-12-30,477.0,76561197970982479
Action,2005-08-09,115.0,76561197970982479
Indie Strategy,2006-09-29,0.0,76561197970982479
Action Indie RPG,2006-11-20,0.0,76561197970982479
Indie Simulation,2006-11-29,28.0,76561197970982479
Racing,2006-11-24,0.0,76561197970982479
Casual Indie,2006-12-14,31.0,76561197970982479
Casual Indie,2006-12-19,0.0,76561197970982479
Strategy,2003-08-23,195.0,76561197970982479
Strategy,2006-12-21,513.0,76561197970982479
Adventure RPG,2006-04-17,1061.0,76561197970982479
Racing,2006-08-01,1613.0,76561197970982479
Racing,2005-07-12,186.0,76561197970982479
Action Adventure,2007-06-26,0.0,76561197970982479
Strategy,2006-07-24,271.0,76561197970982479
RPG,2002-11-12,445.0,76561197970982479
Action Adventure RPG,2000-11-17,10006.0,76561197970982479
Strategy,2006-07-24,0.0,76561197970982479
Strategy,2003-10-23,4413.0,76561197970982479
Strategy,2006-10-16,0.0,76561197970982479
Strategy,1998-10-31,0.0,76561197970982479
Strategy,1995-04-01,53.0,76561197970982479
Action Adventure,2007-06-05,199.0,76561197970982479
Action,2006-05-23,25.0,76561197970982479
Action Adventure,2006-10-17,570.0,76561197970982479
Action,1996-06-17,0.0,76561197970982479
Action Adventure,2006-12-20,940.0,76561197970982479
Action,1995-04-30,110.0,76561197970982479
Action,1995-06-01,5.0,76561197970982479
Action,1994-05-05,782.0,76561197970982479
Action,1994-08-03,77.0,76561197970982479
Action,2001-11-20,437.0,76561197970982479
Action,1997-02-28,503.0,76561197970982479
Action,1993-10-10,1474.0,76561197970982479
Action,2003-09-09,0.0,76561197970982479
Action,2007-08-03,3061.0,76561197970982479
Action,2007-05-31,536.0,76561197970982479
Strategy,2007-03-20,139.0,76561197970982479
Strategy,2006-01-01,1886.0,76561197970982479
Action RPG,2007-08-21,1784.0,76561197970982479
Strategy,2006-01-01,4431.0,76561197970982479
Strategy,2006-10-09,1021.0,76561197970982479
Strategy,2004-09-22,1389.0,76561197970982479
Strategy,2006-06-26,95.0,76561197970982479
Casual,2007-12-14,5001.0,76561197970982479
Action,2004-04-20,1504.0,76561197970982479
Racing,2003-07-01,0.0,76561197970982479
Action,2003-10-14,11.0,76561197970982479
Action Adventure,2006-04-07,1636.0,76561197970982479
Action,2001-07-25,46.0,76561197970982479
Strategy,2008-10-28,85.0,76561197970982479
Casual,2007-10-10,5716.0,76561197970982479
RPG Casual Adventure,2007-10-23,834.0,76561197970982479
Strategy,2007-08-01,3083.0,76561197970982479
Action Adventure Strategy,2007-09-01,127.0,76561197970982479
Racing,2007-12-03,71.0,76561197970982479
Action,2008-02-08,0.0,76561197970982479
Action,2007-05-08,0.0,76561197970982479
Action,2006-05-02,0.0,76561197970982479
Action Adventure,2007-10-16,0.0,76561197970982479
Action,2006-05-30,585.0,76561197970982479
Simulation Strategy,2006-10-26,146.0,76561197970982479
Action,2005-03-14,0.0,76561197970982479
Action,2003-02-03,32.0,76561197970982479
Action,1998-04-30,3.0,76561197970982479
Casual Indie,2008-03-21,3.0,76561197970982479
Action,2003-02-18,0.0,76561197970982479
Action,2004-03-23,0.0,76561197970982479
Action,2000-10-25,0.0,76561197970982479
Action,2006-12-12,707.0,76561197970982479
Simulation,2005-03-15,50.0,76561197970982479
Casual Simulation,2008-05-28,206.0,76561197970982479
Casual,2008-06-04,12.0,76561197970982479
Casual,2008-06-10,64.0,76561197970982479
Casual,2008-06-10,10345.0,76561197970982479
Casual,2008-06-10,369.0,76561197970982479
Casual,2008-06-10,76.0,76561197970982479
Casual,2005-12-08,0.0,76561197970982479
Casual,2007-11-13,0.0,76561197970982479
Simulation,2007-11-13,594.0,76561197970982479
Casual,2005-12-08,43.0,76561197970982479
Action Adventure,2007-03-27,966.0,76561197970982479
Simulation,2007-03-20,2452.0,76561197970982479
Simulation,2006-12-15,25.0,76561197970982479
Simulation,2008-03-24,119.0,76561197970982479
Adventure,2005-09-15,6.0,76561197970982479
Racing,2005-07-02,0.0,76561197970982479
Adventure,2006-04-12,0.0,76561197970982479
