developer,sentiment_analysis,user_id
Kotoshiro,1.0,Wackky
Secret Level SRL,0.0,kevinator23
Poolianscom,2.0,Lord_Exploit
Trickjump Games Ltd,1.0,2768820078
Poppermost Productions,2.0,1337lolroflmao
Poppermost Productions,0.0,Mastic
Stegalosaurus Game Development,2.0,Mastic
Copperpick Studio,1.0,76561198104393251
Ghulam Jewel,0.0,H1DD3NT3RR0R
Apillo,0.0,H1DD3NT3RR0R
Poppermost Productions,0.0,pikawuu2
Apillo,2.0,76561198145436942
Poppermost Productions,2.0,Forty-Nine
Tero Lunkka,0.0,750805
FrozenPepper,0.0,750805
FrozenPepper,0.0,76561198054465623
Casey Labrack,2.0,76561198074323290
Stainless Games Ltd,0.0,76561198003056556
Valve,0.0,AMV72
devplay,1.0,76561198039441595
ETGgames,0.0,armouredmarshmallow
lalalaZeroUrbanoff,2.0,armouredmarshmallow
Strategy First,0.0,armouredmarshmallow
Strategy First,2.0,armouredmarshmallow
Outerlight Ltd,0.0,Astrelt
Ultraint,2.0,76561198056980314
TPMCO SOFT WORKS,2.0,76561198057389499
Wonderbox Games,0.0,76561198030735076
Wonderbox Games,1.0,Bonesdontrattlethem
Mad Unicorn Games,0.0,76561198062403736
GlyphX Games,0.0,hididdlyhoe
Introversion Software,0.0,dicksoutforboromir
Outerlight Ltd,0.0,ByzGirl
Facepunch Studios,2.0,calii
SimBin,2.0,76561198058842042
Unknown Worlds Entertainment,0.0,Axzothrift
CINEMAX sro,2.0,chidvd
Sick Puppies,2.0,SmeshDoge
Deepred,2.0,harrisonnorris
Funcom,0.0,76561198142474106
Bugbear Entertainment,0.0,ciborg2000
Bugbear Entertainment,2.0,Norf_Norf
CAPCOM Co Ltd,1.0,Norf_Norf
FireFly StudiosFiraxis Games,1.0,Norf_Norf
Arkane Studios,1.0,Norf_Norf
Funcom,1.0,Norf_Norf
Firaxis Games,2.0,Norf_Norf
PopTop,2.0,Norf_Norf
Firaxis GamesFeral Interactive Mac,2.0,76561198041840982
PopTop,0.0,76561198126142125
MicroProse Software Inc,1.0,cruzercru
Crystal DynamicsFeral Interactive Mac,0.0,76561198044594262
CAPCOM Co Ltd,0.0,blablabla174
Telltale Games,1.0,digfernandes
id Software,1.0,digfernandes
Telltale Games,2.0,DrVendax
id Software,2.0,DrVendax
id Software,0.0,XavvPlays
id Software,2.0,76561198103524411
id Software,2.0,izumireina
Gray Matter Studios,2.0,BajanCanidian
Ritual Entertainment,2.0,Fluphy_
id Software,2.0,Frankaloons
Terminal Reality,1.0,idsoftwaresquake
Rogue Entertainment,2.0,Gterrestrial
id Software,2.0,Halio99
Metamorf,0.0,DeliciousPuddin
Relic Entertainment,0.0,harrylolman
K BostonK Australia,2.0,fil96
Relic Entertainment,2.0,TDOJ3DTDO
Relic Entertainment,1.0,Hollowfun
The Creative Assembly,2.0,IrishNZ
The Creative Assembly,2.0,tickets845
Big Fish Games,2.0,Infinitespeed
Rockstar North,0.0,76561198088860621
Rockstar San Diego,0.0,ironcass
Remedy Entertainment,2.0,ironcass
Crystal Dynamics,0.0,ironcass
Remedy Entertainment,2.0,ironcass
EA Los Angeles,2.0,jdrocks
Infinite Interactive,2.0,xexilex
Momentum Digital Media Technologies,2.0,aligindahousebabykosha
GamebryoVirtual Playground,1.0,1234567io9872345678765432
SCS Software,2.0,1234567io9872345678765432
SCS Software,2.0,1234567io9872345678765432
Pivotal Games,2.0,JunG00berfuckingsucks
Bohemia Interactive,2.0,Justmatel
Spellbound,0.0,76561198075749223
Haggard Games,1.0,Snoresville
Eugen Systems,0.0,76561198055670224
FrontierAspyr Mac,0.0,76561198055670224
Eugen Systems,2.0,76561198055670224
Epic Games Inc,2.0,76561198080125105
Epic Games Inc,2.0,Lickidactyl
Sanzaru Games,2.0,linksupersayan
Ubisoft,0.0,dietrich1998
Crytek Studios,2.0,companothemuslim
Epic Games Inc,0.0,76561198095766418
Ubisoft Montreal,2.0,G0LDENGUNNER
Ubisoft,2.0,76561198063274178
Last Day of Work,2.0,76561198063274178
SpinTop Games,1.0,76561198063274178
MumboJumbo,1.0,SpecGames
MumboJumbo,0.0,meeeedie
MumboJumbo,2.0,tehbluscoot
MumboJumbo,0.0,tehbluscoot
MumboJumbo,2.0,stealthysteve
MumboJumbo,0.0,stealthysteve
Ubisoft,2.0,SwinburnCyphenMisslemike
MumboJumbo,1.0,76561198101552611
Ubisoft BulgariaUbisoft Montpellier,0.0,76561198095856407
Ubisoft Romania,0.0,whiteruby3
C Maddox Games,2.0,MrPickle255
Ubisoft Romania,0.0,mwanan
Telltale Games,2.0,76561198012741239
MerscomBabylon,1.0,PiozZ
Telltale Games,0.0,PandaCorn666
BigAnt Studios,0.0,Karetchi
Gabriel Entertainment,0.0,76561198068217106
Zemnott,0.0,76561198068217106
Frogwares,1.0,76561198067777635
Frogwares,2.0,76561198002151678
Luc BernardSilverSphereStudios,0.0,76561198002151678
Lesta Studio,2.0,76561198089541911
Dialogue Design,1.0,76561198089541911
Bugbear Entertainment,0.0,76561198102977568
Oddworld Inhabitants,2.0,Ravironio
Oddworld Inhabitants,2.0,Revan_Aldrei
SimBin,0.0,Revan_Aldrei
MicroProse Software Inc,2.0,Revan_Aldrei
MicroProse Software Inc,2.0,Revan_Aldrei
MicroProse Software Inc,2.0,Revan_Aldrei
GSC Game World,0.0,Revan_Aldrei
Crytek,2.0,Revolver_
Crytek,0.0,Matoota
MicroProse Software Inc,2.0,76561198092310770
CD PROJEKT RED,2.0,76561198092310770
Introversion Software,0.0,Sam_Slade
SimBin,0.0,MegaMario48
Tilted Mill Entertainment Inc,2.0,benjamingarrison
Firaxis Games,1.0,Shredderman962
Red Storm EntertainmentUbisoft Montreal,2.0,Simcra
Travellers Tales,2.0,SpiritOfDeath2
Monte Cristo,2.0,justthathelicopterpilot
Tilted Mill Entertainment Inc,2.0,coadstar101
Gearbox Software,2.0,coadstar101
Dark Castle Software,2.0,_SNS_
Techland,2.0,_SNS_
Nival,2.0,76561198060787863
Gearbox Software,0.0,76561198060787863
Nival,0.0,space_jumper
Blue Byte,2.0,76561198059845244
Ubisoft,0.0,Kaj3n
Red Storm Entertainment,0.0,ssbatt
PopCap Games Inc,2.0,stinglock
D BOY,2.0,76561198065863302
Egosoft,0.0,76561198074373301
Sandstorm Productions,2.0,superyoshiegg
Shorebound Studios,2.0,76561198070346631
Perpetual FX Creative,0.0,76561198015930046
Rockstar New England,2.0,94567
Ubisoft Montreal,0.0,TheSuccIsGudd
Meridian,1.0,thegreatds
RailSimulatorcom,1.0,theironhex
RailSimulatorcom,1.0,76561198046806915
RailSimulatorcom,2.0,76561198065836764
Reppo,2.0,76561198066582571
RailSimulatorcom,2.0,Truebro115
Dovetail Games,2.0,Truebro115
Dovetail Games,2.0,Truebro115
Volition,2.0,76561198056645429
EA Redwood Shores,0.0,swagdog69
Liquid Entertainment,2.0,WalrusInSpace
DICE,2.0,wavezero
Hidden Path Entertainment,0.0,76561198129265482
Monolith,2.0,76561198072355008
Oxeye Game Studio,0.0,Harrasian
Inventive Dingo,2.0,Freeballin99
Meridian,0.0,xoffy
Black Sea Studios Ltd,2.0,xoffy
Realmforge Studios,0.0,mikeytyson
The Creative AssemblyFeral Interactive MacFeral Interactive Linux,0.0,mikeytyson
Deadline Games,2.0,AdonSinky
Frictional Games,0.0,76561198097470405
Epic Games Inc,0.0,76561198097470405
Radon Labs,1.0,Z1_M4N
Tale of Tales,1.0,AndyIzNogud
Criterion Games,2.0,76561198036810976
Twisted Pixel Games,2.0,Kootrasman
Twisted Pixel Games,2.0,76561198041284313
Twisted Pixel Games,2.0,76561198038259400
IonFX,2.0,Xalibe
Llamasoft LTD,0.0,MynameisAuz
InnoGlowStormregionTHQ Nordic,0.0,76561198039469366
SpinTop Games,2.0,76561198062785129
ArenaNet,0.0,Uve-Seen_Nothing
ArenaNet,0.0,Uve-Seen_Nothing
ArenaNet,0.0,Blackboy72
ArenaNet,2.0,Blackboy72
Infinite Interactive,2.0,mrnuclear
MumboJumbo,0.0,Aussiefella_69
Reality Pump Studios,2.0,shadowxlucario
Spellbound,2.0,My_Immortal
Gaijin Entertainment,0.0,76561198029589709
ACE Team,2.0,MrProvidings
Twisted Pixel Games,1.0,MrProvidings
C Company,1.0,MrProvidings
Last Day of Work,0.0,76561198006896411
Sky Fallen,0.0,SitteNKitteNMitteN
Irrational Games,2.0,communiggersunite
Irrational Games,2.0,LASSO133
SaintXi,2.0,ryno69445
Darklight Games,0.0,76561198053145578
Radical Entertainment,0.0,haoliu98
Erik Svedng,0.0,mr_cat
Ascaron Entertainment ltd,2.0,mr_cat
Bethesda Game Studios,0.0,avdl
Bethesda Game Studios,0.0,AriakWolf
Deck ,0.0,NiceAhTNT
NovaLogic,2.0,ThePratama190
NovaLogic,0.0,76561198089200630
Mascot Entertainment,2.0,76561198081631721
Techland,1.0,1800-Ricohut
HeR Interactive,0.0,darainthebanana
HeR Interactive,0.0,darainthebanana
HeR Interactive,1.0,76561198034784208
HeR Interactive,2.0,fui312
Digital Eel,0.0,GoodOldJacob
Telltale Games,0.0,76561198080354888
Capcom,2.0,76561198080354888
Frontier,2.0,bigfoot57
LucasArts,0.0,Kevin_F
Planet Moon Studios,2.0,Kevin_F
Pandemic Studios,1.0,Blood_and_Bone
LucasArts,0.0,Blood_and_Bone
Travellers Tales,1.0,bloodspilla
LucasArts,2.0,bloodspilla
GFI Russia,0.0,rooneywatson
Targem Games,0.0,rooneywatson
HeR Interactive,2.0,rooneywatson
Wanako Games,0.0,rooneywatson
Sierra,2.0,76561198055117884
Saber Interactive,1.0,boldboulder
Sierra,1.0,12345678901234567890123456567890
Tripwire Interactive,1.0,SDAFAWRFGRSEG
Artech Studios,0.0,76561198095920833
PopTop SoftwareBreakAway GamesFrog City Software,0.0,Catch_Twenty_Two
SpinTop Games,1.0,76561198042411838
Capcom,1.0,76561198042411838
Capcom,2.0,SuchDogeMuchWoW
Deadline Games,1.0,76561198066118331
Sakari Indie,2.0,dannysfatass
BioWareAspyr Mac,1.0,76561198087135044
Hemisphere Games,2.0,topkeklord7
Black Isle Studios,1.0,evankohgj
 East,1.0,chewyi
Xatrix Entertainment,0.0,76561198142474106
Telltale Games,2.0,76561198051461196
iWin,2.0,PintoProAlto
iWin,1.0,Ibukismywaifuforlaifu
Size Five Games,2.0,chocolate-donut-king
Ubisoft Montreal,2.0,chocolate-donut-king
Unicorn Games Studio,2.0,76561198064663981
Blue Fang,2.0,curtiits
IO Interactive,2.0,cybas101
Vectorpark Inc,0.0,itsdandytime
