developer,review,item_id
Kotoshiro,1.0,550.0
Secret Level SRL,0.0,218620.0
Poolianscom,2.0,311560.0
Trickjump Games Ltd,1.0,310950.0
Poppermost Productions,2.0,219740.0
Poppermost Productions,0.0,304050.0
Stegalosaurus Game Development,2.0,550.0
Copperpick Studio,1.0,304930.0
Ghulam Jewel,0.0,730.0
Apillo,0.0,570.0
Poppermost Productions,0.0,230410.0
Apillo,2.0,221100.0
Poppermost Productions,2.0,376300.0
Tero Lunkka,0.0,369070.0
FrozenPepper,0.0,91310.0
FrozenPepper,0.0,302830.0
Casey Labrack,2.0,252490.0
Stainless Games Ltd,0.0,432020.0
Valve,0.0,209100.0
devplay,1.0,20.0
ETGgames,0.0,346900.0
lalalaZeroUrbanoff,2.0,72850.0
Strategy First,0.0,57300.0
Strategy First,2.0,630.0
Outerlight Ltd,0.0,218680.0
Ultraint,2.0,236390.0
TPMCO SOFT WORKS,2.0,252950.0
Wonderbox Games,0.0,339610.0
Wonderbox Games,1.0,4000.0
Mad Unicorn Games,0.0,335300.0
GlyphX Games,0.0,440.0
Introversion Software,0.0,334230.0
Outerlight Ltd,0.0,305620.0
Facepunch Studios,2.0,292030.0
SimBin,2.0,301520.0
Unknown Worlds Entertainment,0.0,393420.0
CINEMAX sro,2.0,224060.0
Sick Puppies,2.0,730.0
Deepred,2.0,730.0
Funcom,0.0,4000.0
Bugbear Entertainment,0.0,107410.0
Bugbear Entertainment,2.0,364360.0
CAPCOM Co Ltd,1.0,22380.0
FireFly StudiosFiraxis Games,1.0,224260.0
Arkane Studios,1.0,221100.0
Funcom,1.0,35450.0
Firaxis Games,2.0,246620.0
PopTop,2.0,4000.0
Firaxis GamesFeral Interactive Mac,2.0,275850.0
PopTop,0.0,236390.0
MicroProse Software Inc,1.0,107410.0
Crystal DynamicsFeral Interactive Mac,0.0,282070.0
CAPCOM Co Ltd,0.0,730.0
Telltale Games,1.0,570.0
id Software,1.0,304240.0
Telltale Games,2.0,321980.0
id Software,2.0,342300.0
id Software,0.0,319510.0
id Software,2.0,441050.0
id Software,2.0,1840.0
Gray Matter Studios,2.0,440.0
Ritual Entertainment,2.0,730.0
id Software,2.0,107410.0
Terminal Reality,1.0,391540.0
Rogue Entertainment,2.0,301520.0
id Software,2.0,8930.0
Metamorf,0.0,318220.0
Relic Entertainment,0.0,271590.0
K BostonK Australia,2.0,730.0
Relic Entertainment,2.0,48700.0
Relic Entertainment,1.0,200510.0
The Creative Assembly,2.0,247240.0
The Creative Assembly,2.0,200210.0
Big Fish Games,2.0,301520.0
Rockstar North,0.0,570.0
Rockstar San Diego,0.0,417860.0
Remedy Entertainment,2.0,204300.0
Crystal Dynamics,0.0,224540.0
Remedy Entertainment,2.0,255710.0
EA Los Angeles,2.0,395910.0
Infinite Interactive,2.0,570.0
Momentum Digital Media Technologies,2.0,730.0
GamebryoVirtual Playground,1.0,730.0
SCS Software,2.0,107410.0
SCS Software,2.0,304930.0
Pivotal Games,2.0,9050.0
Bohemia Interactive,2.0,570.0
Spellbound,0.0,394230.0
Haggard Games,1.0,248570.0
Eugen Systems,0.0,550.0
FrontierAspyr Mac,0.0,570.0
Eugen Systems,2.0,440.0
Epic Games Inc,2.0,108600.0
Epic Games Inc,2.0,6060.0
Sanzaru Games,2.0,329440.0
Ubisoft,0.0,311210.0
Crytek Studios,2.0,107410.0
Epic Games Inc,0.0,211820.0
Ubisoft Montreal,2.0,434570.0
Ubisoft,2.0,322330.0
Last Day of Work,2.0,200210.0
SpinTop Games,1.0,4000.0
MumboJumbo,1.0,335330.0
MumboJumbo,0.0,440.0
MumboJumbo,2.0,440.0
MumboJumbo,0.0,630.0
MumboJumbo,2.0,248570.0
MumboJumbo,0.0,220050.0
Ubisoft,2.0,113020.0
MumboJumbo,1.0,232090.0
Ubisoft BulgariaUbisoft Montpellier,0.0,208090.0
